food,price,store,origin
chocolate,100.3,supermarket,russia
chocolate,55.57,minimarket,russia
chocolate,268.62,minimarket,import
chocolate,196.81,supermarket,import
bread,10.91,minimarket,russia
bread,25.84,supermarket,russia
bread,35.44,supermarket,import
vegetables,64.93,minimarket,russia
bread,116.23,minimarket,import
vegetables,226.39,supermarket,russia
vegetables,209.15,supermarket,import
vegetables,359,minimarket,import
fruits,85.84,minimarket,russia
fruits,191.07,supermarket,import
fruits,208.59,supermarket,russia
fruits,400.17,minimarket,import
cheese,184.56,minimarket,russia
cheese,278.86,supermarket,russia
cheese,333.21,supermarket,import
cheese,504,minimarket,import
